Local time,Open,High,Low,Close,Volume
01.01.2020 00:00:00.000 GMT+0200,144.092,144.092,144.092,144.092,0
02.01.2020 00:00:00.000 GMT+0200,144.044,144.186,142.263,142.586,198666.53
03.01.2020 00:00:00.000 GMT+0200,142.581,142.778,140.996,141.337,215807.99920000002
04.01.2020 00:00:00.000 GMT+0200,141.337,141.337,141.337,141.337,0
05.01.2020 00:00:00.000 GMT+0200,141.337,141.337,141.337,141.337,0
06.01.2020 00:00:00.000 GMT+0200,141.158,142.785,140.820,142.670,195081.1709
07.01.2020 00:00:00.000 GMT+0200,142.674,143.291,142.017,142.270,206508.74889999995
08.01.2020 00:00:00.000 GMT+0200,142.267,143.103,141.119,142.828,314135.4988
09.01.2020 00:00:00.000 GMT+0200,142.831,143.453,142.420,143.091,200610.3307
10.01.2020 00:00:00.000 GMT+0200,143.093,143.495,142.885,142.948,247821.60199999998
11.01.2020 00:00:00.000 GMT+0200,142.948,142.948,142.948,142.948,0
12.01.2020 00:00:00.000 GMT+0200,142.948,142.948,142.948,142.948,0
13.01.2020 00:00:00.000 GMT+0200,142.766,142.963,142.359,142.788,143111.94970000003
14.01.2020 00:00:00.000 GMT+0200,142.787,143.432,142.448,143.165,181289.7399
15.01.2020 00:00:00.000 GMT+0200,143.134,143.382,142.663,143.276,151110.02029999997
16.01.2020 00:00:00.000 GMT+0200,143.273,144.138,143.212,144.046,161541.8294
17.01.2020 00:00:00.000 GMT+0200,144.047,144.525,143.231,143.236,157258.05889999997
18.01.2020 00:00:00.000 GMT+0200,143.236,143.236,143.236,143.236,0
19.01.2020 00:00:00.000 GMT+0200,143.236,143.236,143.236,143.236,0
20.01.2020 00:00:00.000 GMT+0200,143.019,143.357,142.798,143.322,118432.95849999998
21.01.2020 00:00:00.000 GMT+0200,143.321,143.973,142.856,143.346,169156.4517
22.01.2020 00:00:00.000 GMT+0200,143.299,144.606,143.256,144.307,177507.6083
23.01.2020 00:00:00.000 GMT+0200,144.305,144.411,143.203,143.650,179856.12150000004
24.01.2020 00:00:00.000 GMT+0200,143.650,144.413,142.713,142.814,184207.2515
25.01.2020 00:00:00.000 GMT+0200,142.814,142.814,142.814,142.814,0
26.01.2020 00:00:00.000 GMT+0200,142.814,142.814,142.814,142.814,0
27.01.2020 00:00:00.000 GMT+0200,142.461,142.743,142.050,142.150,194071.44860000003
28.01.2020 00:00:00.000 GMT+0200,142.163,142.450,141.476,142.184,167959.90170000002
29.01.2020 00:00:00.000 GMT+0200,142.161,142.346,141.705,141.903,147630.61120000004
30.01.2020 00:00:00.000 GMT+0200,141.917,142.705,141.255,142.647,230043.3591
31.01.2020 00:00:00.000 GMT+0200,142.647,143.284,142.454,143.026,214724.05039999998
01.02.2020 00:00:00.000 GMT+0200,143.026,143.026,143.026,143.026,0
02.02.2020 00:00:00.000 GMT+0200,143.026,143.026,143.026,143.026,0
03.02.2020 00:00:00.000 GMT+0200,142.870,143.101,141.065,141.204,206761.27060000002
04.02.2020 00:00:00.000 GMT+0200,141.204,142.840,140.920,142.712,193233.53069999997
05.02.2020 00:00:00.000 GMT+0200,142.712,143.373,142.220,142.772,202340.0425
06.02.2020 00:00:00.000 GMT+0200,142.790,142.819,142.085,142.164,162135.92159999997
07.02.2020 00:00:00.000 GMT+0200,142.164,142.371,141.384,141.384,190655.4995
08.02.2020 00:00:00.000 GMT+0200,141.384,141.384,141.384,141.384,0
09.02.2020 00:00:00.000 GMT+0200,141.384,141.384,141.384,141.384,0
10.02.2020 00:00:00.000 GMT+0200,141.344,142.089,141.233,141.752,184763.1596
11.02.2020 00:00:00.000 GMT+0200,141.731,142.459,141.675,142.136,148160.8105
12.02.2020 00:00:00.000 GMT+0200,142.129,142.884,142.023,142.627,111224.3806
13.02.2020 00:00:00.000 GMT+0200,142.626,143.475,142.139,143.182,168189.16019999998
14.02.2020 00:00:00.000 GMT+0200,143.226,143.403,142.762,143.193,145092.7501
15.02.2020 00:00:00.000 GMT+0200,143.193,143.193,143.193,143.193,0
16.02.2020 00:00:00.000 GMT+0200,143.193,143.193,143.193,143.193,0
17.02.2020 00:00:00.000 GMT+0200,143.149,143.366,142.841,142.881,122675.28950000003
18.02.2020 00:00:00.000 GMT+0200,142.883,143.229,142.314,142.802,177335.9318
19.02.2020 00:00:00.000 GMT+0200,142.802,144.162,142.761,143.868,168903.35040000002
20.02.2020 00:00:00.000 GMT+0200,143.872,144.603,143.594,144.389,162905.0986
21.02.2020 00:00:00.000 GMT+0200,144.381,144.957,143.718,144.516,204758.4402
22.02.2020 00:00:00.000 GMT+0200,144.516,144.516,144.516,144.516,0
23.02.2020 00:00:00.000 GMT+0200,144.516,144.516,144.516,144.516,0
24.02.2020 00:00:00.000 GMT+0200,144.037,144.619,142.629,143.144,237530.42960000003
25.02.2020 00:00:00.000 GMT+0200,143.080,143.642,142.948,143.294,295746.63039999997
26.02.2020 00:00:00.000 GMT+0200,143.281,143.717,142.232,142.408,322890.061
27.02.2020 00:00:00.000 GMT+0200,142.413,142.545,141.169,141.195,379424.12309999997
28.02.2020 00:00:00.000 GMT+0200,141.186,141.410,137.532,138.460,441122.7198
29.02.2020 00:00:00.000 GMT+0200,138.460,138.460,138.460,138.460,0
01.03.2020 00:00:00.000 GMT+0200,138.460,138.460,138.460,138.460,0
02.03.2020 00:00:00.000 GMT+0200,137.462,139.183,137.149,138.169,398892.6813
03.03.2020 00:00:00.000 GMT+0200,138.114,138.564,136.935,137.248,385707.8154
04.03.2020 00:00:00.000 GMT+0200,137.164,138.427,137.035,138.410,299044.0727
05.03.2020 00:00:00.000 GMT+0200,138.409,138.676,137.370,137.480,280653.1384
