Gmt time,Open,High,Low,Close,Volume
29.01.2020 22:00:00.000,4351,4351,4194,4230,30080000.1025
30.01.2020 22:00:00.000,4252,4282,4220,4230,34000000.1937
31.01.2020 22:00:00.000,4230,4230,4230,4230,0
01.02.2020 22:00:00.000,4230,4230,4230,4230,0
02.02.2020 22:00:00.000,4055,4106,4045,4097,40190000.0572
03.02.2020 22:00:00.000,4058,4099,4058,4090,37229999.780600004
04.02.2020 22:00:00.000,4102,4134,4063,4096,37920000.3147
05.02.2020 22:00:00.000,4150,4270,4150,4242,38669999.361
06.02.2020 22:00:00.000,4271,4288,4222,4262,17890000.224
07.02.2020 22:00:00.000,4262,4262,4262,4262,0
08.02.2020 22:00:00.000,4262,4262,4262,4262,0
09.02.2020 22:00:00.000,4234,4298,4234,4257,32929999.8283
10.02.2020 22:00:00.000,4257,4257,4257,4257,0
11.02.2020 22:00:00.000,4296,4297,4229,4253,29609999.895199995
12.02.2020 22:00:00.000,4237,4243,4196,4205,34620000.1239
13.02.2020 22:00:00.000,4162,4169,4126,4158,28489999.532799996
14.02.2020 22:00:00.000,4158,4158,4158,4158,0
15.02.2020 22:00:00.000,4158,4158,4158,4158,0
16.02.2020 22:00:00.000,4106,4123,4071,4116,36009999.2752
17.02.2020 22:00:00.000,4073,4113,4042,4074,31320000.052499995
18.02.2020 22:00:00.000,4111,4171,4089,4155,39100000.3814
19.02.2020 22:00:00.000,4214,4245,4173,4192,36900000.0953
20.02.2020 22:00:00.000,4152,4202,4142,4177,33690000.5342
21.02.2020 22:00:00.000,4177,4177,4177,4177,0
22.02.2020 22:00:00.000,4177,4177,4177,4177,0
23.02.2020 22:00:00.000,4177,4177,4177,4177,0
24.02.2020 22:00:00.000,3941,4034,3931,4024,31379999.637600005
25.02.2020 22:00:00.000,3973,4014,3955,4004,48349999.4278
26.02.2020 22:00:00.000,3935,3946,3826,3870,38010000.228800006
27.02.2020 22:00:00.000,3788,3788,3610,3636,60639998.9128
28.02.2020 22:00:00.000,3636,3636,3636,3636,0
29.02.2020 22:00:00.000,3636,3636,3636,3636,0
01.03.2020 22:00:00.000,3566,3707,3566,3650,48709999.6805
02.03.2020 22:00:00.000,3746,3755,3602,3602,48110001.0872
03.03.2020 22:00:00.000,3540,3569,3528,3540,51669999.5996
04.03.2020 22:00:00.000,3651,3693,3631,3691,34650000.095400006
05.03.2020 22:00:00.000,3615,3641,3598,3625,46269999.504099995
06.03.2020 22:00:00.000,3625,3625,3625,3625,0
07.03.2020 22:00:00.000,3625,3625,3625,3625,0
08.03.2020 21:00:00.000,3461,3468,3286,3318,57400000.0953
